description,hs_code,category,sample_type,confusable_with,classification_note
"Heavy-duty metal filing cabinet, 4-drawer, essential office storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Glass-top coffee table with polished chrome legs, living room accent furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
"A collared upper body garment for men, with long sleeves and buttoned cuffs, made from crisp cotton poplin.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'collared upper body garment for men,' 'long sleeves and buttoned cuffs,' and 'crisp cotton poplin' (woven fabric)."
"Kids' cartoon print cotton knitted crewneck T-shirt, red, short sleeve, size 4T.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Ubiquiti UniFi US-8-60W 8-port PoE+ network switch, managed, for powering IP cameras and access points.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Slim metal console table for hallway entrance, a modern accent furniture piece.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
"Segmented seed starting flats, allowing individual growth environments for numerous young plants.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"A tall, slender unit with multiple enclosed compartments for culinary provisions and utensils.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'cabinet' or 'pantry'; inferrable from functional context.
"Ethernet network switch optimized for surveillance systems, managing multiple IP cameras and their associated 4K video feeds.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'Ethernet network switch' (8517); modifier contains 8525 trap keywords ('IP cameras', '4K video')."
"GoPro HERO11 Black action camera, 5K video recorder, waterproof design, with a wide-angle optical lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (action camera, video recorder, optical, lens)."
Blow-molded HDPE outdoor garden tool storage shed 150x100cm weather resistant,3926,Other articles of plastics,overlapping,9403.0,WCO GRI 3(b): plastic article (3926) over furniture (9403); primary material and construction method is plastic blow-moulding.
"Ladies' striped crewneck T-shirt, fine gauge knitted rayon, short sleeve, size M.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"RED Komodo 6K cinema camera, Super 35 sensor, professional video recorder, requiring separate optical lenses.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (cinema camera, video recorder, optical, lenses)."
Remote inspection tool with an articulated camera and integrated cellular module for instant data transmission to control center.,8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Casual overpiece for men, crafted from soft chambray, featuring roll-up sleeves and chest flap pockets.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'casual overpiece for men,' 'chambray' (woven fabric), 'roll-up sleeves,' and 'chest flap pockets'."
"Men's black cotton knitted crewneck T-shirt, short sleeve, size L, casual wear.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"A rigid, lightweight sheath offering impact resistance for small portable electronic devices.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Men's knitted t-shirt, specifically designed as an undershirt for a formal button-down woven dress shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (t-shirt); modifier contains 6205 trap keywords (formal, button-down, woven, dress shirt)."
"Digital transceiver for remote control and data transmission to professional broadcast camera systems, including lens adjustments.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'digital transceiver' (8517); modifier contains 8525 trap keywords ('broadcast camera systems', 'lens')."
"Unisex basic white crewneck singlet, breathable knitted cotton, size XS, layering.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Clear polycarbonate storage tray organizer designed for top-of-wardrobe shelf space,3926,Other articles of plastics,edge_case,9403.0,Edge case: subject is plastic tray (3926); modifier 'top-of-wardrobe shelf' is furniture trap keyword from 9403.
"A multi-compartment desktop caddy designed to organize pens, clips, and small office supplies.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
Terrestrial radio frequency emitter for conveying live performance signals to a distribution network.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Women's comfortable sleeveless garment, made from a soft, pliant fabric ideal for layering or warm weather.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'singlet' and 'knitted'; inferrable from 'sleeveless garment' and 'soft, pliant fabric'."
"Professional top for male office wear, crafted from fine broadcloth with a tailored fit and front opening.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'professional top for male office wear,' 'broadcloth' (woven fabric), and 'tailored fit and front opening'."
"Child's bedroom wardrobe, 2-door, made from painted MDF, compact furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (wardrobe, furniture)."
"Women's oversized vintage-style jersey T-shirt, drop shoulder, soft pink, XL.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Iridium 9555 satellite telephone, ruggedized, for global voice communication over specialized networks.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Decorative and functional panels fabricated from durable polymers for vehicle cabin aesthetics.,3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Boys' short-sleeve white Oxford shirt, poly-cotton blend, size 12, durable school wear, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Polycarbonate water bottle 1L wide-mouth BPA-free leak-proof lid sports,3926,Other articles of plastics,standard,,Clear standard: polycarbonate + bottle.
A freestanding apparatus designed for organizing folded apparel and accessories within a sleeping area.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'wardrobe' or 'dresser'; inferrable from functional context.
"Arris SURFboard SB8200 DOCSIS 3.1 cable modem, black, for high-speed internet access via wired network.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Injection-molded polypropylene kitchen colander strainer 5L with double handle white,3926,Other articles of plastics,standard,,Clear standard: polypropylene + colander.
Rigid polystyrene egg carton storage tray 30-cell catering size clear,3926,Other articles of plastics,standard,,Clear standard: polystyrene + egg tray.
"Women's white sleeveless viscose jersey singlet, round neck, size S, undershirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Refurbished Apple iPhone 13 Pro Max 5G smartphone, Sierra Blue, 128GB, unlocked, for mobile communication.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"BasicEssential men's pure cotton knitted crewneck T-shirt pack of three, white, L.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
ABS plastic wall-mounted bathroom toilet brush holder with bracket white,3926,Other articles of plastics,standard,,Clear standard: ABS plastic + household holder.
Calix GigaCenter 844G G-PON ONT fiber optic modem with built-in WiFi router for residential broadband.,8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Video intercom system with an integrated wide-angle lens, allowing seamless integration with external DSLR camera feeds.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'video intercom system' (8517); modifier contains 8525 trap keywords ('lens', 'DSLR camera')."
Apparatus for propagating multimedia signals across wide geographic areas via radio waves.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Robotic PTZ camera, Full HD, 30x optical zoom lens, for remote monitoring and video streaming.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (PTZ camera, optical, lens, video)."
"Compact broadcast transmission apparatus for live events, utilizing integrated 5G modules for reliable wireless network connectivity.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (5G, wireless network)."
"Enterprise-grade video conference camera, PTZ functionality, 12x optical zoom lens, suitable for broadcast applications.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (video conference camera, optical, lens, broadcast)."
"Outdoor CCTV camera with remote monitoring capabilities, accessible via a mobile phone over a secure wireless network.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (phone, wireless network)."
Adjustable height school desk featuring a hard-wearing PVC edge banding and an integrated molded plastic seat for student comfort.,9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (PVC, molded, plastic)."
Small dielectric standoffs providing separation and support for various electrical conductors.,3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
High-definition studio broadcast camera equipped with an embedded WiFi module for seamless integration into a production wireless network.,8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (WiFi, wireless network)."
Molded polypropylene under-bed storage box with wheels and lid 110L flat profile grey,3926,Other articles of plastics,overlapping,9403.0,WCO GRI 3(b): classified as plastic article (3926); furniture role (9403) considered but product is primarily a plastic utility container.
"UrbanKnit women's relaxed fit jersey T-shirt, pigment dyed cotton, charcoal, L.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Round tempered glass coffee table with bronze finished legs, stylish furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
Modular storage cabinet with clear acrylic sliding doors and sturdy PVC-lined interior shelves for laboratory use.,9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (acrylic, PVC-lined)."
Core apparatus facilitating the bidirectional flow of digital information across a local perimeter.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'router' or 'modem'; inferrable from functional context.
"An elevated, flat surface constructed from metal and laminate, suitable for office computing tasks.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'desk' or 'table'; inferrable from functional context.
Portable electronic instrument for capturing and storing static or dynamic visual scenes.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Safari men's utility linen shirt, sand color, button-front, lightweight, size XL, outdoor adventure, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Network CCTV camera, 5 megapixel, with varifocal optical lens, designed for integration with a digital video recorder.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (CCTV camera, megapixel, optical, lens, digital video recorder)."
"Espresso media cabinet for TV and electronics, entertainment center furniture item.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"A compact, night-adjacent companion piece with a small top surface and storage drawer.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'nightstand' or 'table'; inferrable from functional context.
"A refined men's garment for evening wear, with a wing collar and stud fasteners, in a crisp voile.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'refined men's garment for evening wear,' 'wing collar,' 'stud fasteners,' and 'crisp voile' (woven)."
"Large grey fabric wardrobe with metal frame, for bedroom clothes storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (wardrobe, furniture)."
"Child-safe, ergonomic molded plastic study chair featuring integrated desk surface for toddlers.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Men's button-down long-sleeve shirt, made from non-knitted fabric, intended for casual wear complementing a jersey singlet.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'button-down shirt' (6205) modified by 'knitted' and 'jersey singlet' (6109 trap keywords).
"Professional conference camera with built-in 5G for direct, secure video communication and live streaming.",8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
A freestanding vertical structure with open tiers for towels and toiletries in a washroom.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'shelf' or 'storage unit'; inferrable from functional context.
"Maple kitchen base cabinet, 30-inch width, assembled storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Samsung SmartThings Hub V3, a Z-Wave/Zigbee gateway for smart home device network control.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Knitted t-shirt with a decorative, non-functional button-down placket, inspired by a classic woven formal shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (t-shirt); modifier contains 6205 trap keywords (button-down, woven, formal shirt)."
"Compact Sony Alpha A7C mirrorless camera, 24MP sensor, capable of 4K video recording, with an interchangeable lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (mirrorless, camera, video recording, lens)."
A wearable electronic imaging gadget for documenting personal adventures in ultra-high clarity.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
Personal handheld unit enabling real-time audiovisual exchange over digital communication pathways.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'smartphone'; inferrable from functional context.
"Antique style display cabinet with glass panels, living room curio furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"4K security camera with pan-tilt-zoom, integrated 5G modem for live streaming, and secure cloud storage.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
A multi-tiered structure crafted from polished wood for exhibiting various decorative objects.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'shelf' or 'bookcase'; inferrable from functional context.
Small C-shaped hooks designed to suspend a textile curtain from a shower rod.,3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Professional video camera system featuring a dedicated streaming module, designed for direct connection to a local WiFi router.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (router, WiFi)."
"Women's knitted singlet featuring a mock collar detail, often layered under a traditional woven dress shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (singlet); modifier contains 6205 trap keywords (collar, woven, dress shirt)."
"Industrial thermal imaging camera, 640x480 resolution, with a specialized optical lens for non-contact video recording.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (thermal camera, optical, lens, video recording)."
"Casual cotton modal blend knitted vest, sleeveless, deep navy, unisex, size S.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
An upright rectangular fixture designed for storing and presenting a collection of printed literature.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'bookcase' or 'shelf'; inferrable from functional context.
"Recycled polypropylene kids toy storage bin with cushioned flip lid seat, 60L",3926,Other articles of plastics,overlapping,9403.0,WCO GRI 3(b): plastic article (3926) prevails; secondary seating cushion on lid does not confer primary furniture (9403) classification.
"Wireless router designed for robust 4K video streaming, enabling remote access to high-resolution camera feeds.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'wireless router' (8517); modifier contains 8525 trap keywords ('4K video', 'camera')."
"Men's polo-style top crafted from knitted oxford fabric, featuring a crisp button-down collar and two-button placket.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"Yealink T54W VoIP desk telephone with color display, WiFi support, for business communication networks.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Men's classic white button-down dress shirt, long sleeve, 100% woven cotton, size M, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Digital camera with instant sharing features, connecting seamlessly to a smartphone via WiFi for direct uploads.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (smartphone, WiFi)."
ABS plastic business card holder display stand 10-slot countertop black,3926,Other articles of plastics,standard,,Clear standard: ABS plastic + display stand.
"Casual men's indigo chambray button-down shirt, long sleeve, 100% woven cotton, size S, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Men's heavy cotton knitted crewneck T-shirt for workwear, forest green, XXL.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Professional 4K broadcast television camera, equipped with a 2/3-inch sensor and a high-quality Fujinon zoom lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (broadcast, television camera, lens)."
Advanced imaging module capable of generating ultra-clear digital visuals for cinematic production.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Stackable, UV-resistant polypropylene (plastic) stool, designed for durable seating in high-traffic commercial environments.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"A low-slung platform crafted from dark veneer, intended to support entertainment electronics and media.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'cabinet' or 'stand'; inferrable from functional context.
"A durable, washable vessel with handles, perfect for transporting produce and household provisions.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
Electronic console organizing and relaying inbound and outbound digital traffic for connected endpoints.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'switch' or 'gateway'; inferrable from functional context.
"Stationary terminal, allowing desk-bound personnel to conduct distant voice conversations and message transfers.",8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'telephone'; inferrable from functional context.
"Office men's crisp white Oxford shirt, long sleeve, slim fit, size 16 neck, non-iron, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Child's simple upper body covering, produced from intermeshed loops, with short sleeves for everyday play.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'upper body covering', 'short sleeves', and 'intermeshed loops'."
Industrial drone payload featuring a high-resolution camera and 4G modem for live data transmission and operational communication.,8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Transparent acrylic (plastic) end table, offering a sleek, modern aesthetic for contemporary living spaces.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Wearable action camera with real-time streaming, capable of pairing with a smartphone for uploading via 5G networks.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (smartphone, 5G)."
